#,Gold,Prediction,Correct,PromptLength
612,salt,gray,0,1033
613,disco,teenage,0,962
614,melanie,melanie,1,1031
615,cards,cards,1,941
616,hank,hank,1,1033
617,claudia,claudia,1,875
618,solovet,gregor,0,886
619,buck,thethe,0,1044
620,six,six,1,1007
621,arlette,lucille,0,896
622,hours,aweek,0,920
623,candles,candles,1,974
624,shop,shopping,0,1030
625,kids,time,0,946
626,alanna,alanna,1,979
627,inn,inn,1,1089
628,bite,wound,0,1037
629,gaining,they,0,1116
630,director,director,1,983
631,ana,ana,1,950
632,trust,trust,1,907
633,locals,local,0,1181
634,barn,life,0,882
635,cat,cat,1,1048
636,nijel,nijel,1,906
637,neely,neely,1,874
638,winston,winston,1,857
639,absalom,absalom,1,1022
640,aaron,aaron,1,962
641,confusion,confusion,1,929
642,coughed,been,0,922
643,neighborhood,neighborhood,1,1206
644,persians,persians,1,1238
645,conrad,conrad,1,867
646,julia,lizzie,0,888
647,mugger,mugger,1,1005
648,cam,cam,1,881
649,button,button,1,896
650,oyster,oyster,1,1007
651,kevin,kevin,1,1075
652,jefferson,theauthorities,0,1104
653,melody,melody,1,964
654,jayden,jayden,1,935
655,berries,berries,1,1051
656,tank,window,0,994
657,kimber,kimber,1,1084
658,darling,declan,0,862
659,mairin,mairin,1,1079
660,disagreement,disagreement,1,1010
661,love,love,1,976
662,gym,gym,1,967
663,jet,jet,1,916
664,wheelchair,chair,0,1031
665,christian,her,0,1059
666,hey,hey,1,851
667,elena,elena,1,979
668,thirteen,devastated,0,885
669,warrant,warrant,1,1026
670,alone,alone,1,949
671,jon,jon,1,913
672,hank,hank,1,884
673,alone,alone,1,920
674,talk,chance,0,845
675,mask,mask,1,973
676,dane,dane,1,883
677,scott,scott,1,905
678,teri,teri,1,1031
679,caleb,caleb,1,910
680,camille,camille,1,1026
681,tasha,tasha,1,902
682,hopeless,hopeless,1,949
683,caroline,caroline,1,988
684,running,running,1,1031
685,dizzy,dizzy,1,964
686,kendall,lisa,0,925
687,fang,fang,1,894
688,cady,stella,0,1129
689,money,notes,0,1042
690,labor,labor,1,1007
691,drank,drank,1,1005
692,signal,signal,1,976
693,academy,academy,1,987
694,debbie,boss,0,917
695,zoey,zoey,1,928
696,farah,farah,1,911
697,phase,phase,1,885
698,geek,geek,1,902
699,vo,vo,1,938
700,eli,eli,1,901
701,blog,blog,1,880
702,halifax,halifax,1,928
703,howard,gregor,0,969
704,emma,emma,1,861
705,lauren,lauren,1,850
706,broker,owner,0,931
707,magic,magic,1,918
708,receipt,receipt,1,1027
709,dale,dale,1,1038
710,hunters,professionals,0,948
711,governor,governor,1,971
712,fire,fire,1,904
713,mack,mack,1,910
714,amos,amos,1,983
715,tim,tim,1,1014
716,nick,nick,1,901
717,princess,princess,1,1056
718,uncle,uncle,1,1022
719,stephanie,stephanie,1,892
720,abby,angel,0,912
721,zach,zach,1,904
722,adarian,adarian,1,911
723,brownies,brownies,1,999
724,crates,crates,1,964
725,megan,megan,1,882
726,isaac,isaac,1,889
727,officer,officer,1,1006
728,attacker,mind,0,1016
729,patch,patch,1,904
730,master,maruccio,0,858
731,cain,halfback,0,888
732,holt,holt,1,908
733,latisha,latisha,1,853
734,connie,connie,1,844
735,alice,alice,1,1095
736,winston,winston,1,940
737,vasquez,vasquez,1,935
738,tether,tether,1,1026
739,young,ced,0,995
740,tiny,bikers,0,1016
741,paperwork,papers,0,983
742,sean,sean,1,923
743,cassie,themoreprim,0,862
744,too,break,0,1046
745,edward,me,0,874
746,anchor,anchor,1,1006
747,walter,walter,1,878
748,fours,fours,1,970
749,wall,land,0,904
750,gill,alicia,0,963
751,connor,connor,1,893
752,ed,ed,1,906
753,toast,toast,1,934
754,coin,coin,1,959
755,shore,thesurface,0,963
756,master,master,1,948
757,storm,tristan,0,996
758,body,body,1,1160
759,eden,eden,1,883
760,book,book,1,1079
761,rusty,rusty,1,1092
762,captain,captain,1,980
763,treatment,treatment,1,895
764,steel,bronze,0,1088
765,plank,deck,0,1105
766,callie,callie,1,897
767,fest,festival,0,882
768,orin,orin,1,885
769,corral,corral,1,942
770,outpost,outpost,1,978
771,haven,haven,1,959
772,riot,riot,1,901
773,hostage,hostage,1,900
774,gillian,lucy,0,1301
775,pancakes,pancakes,1,1096
776,chickens,chickens,1,1008
777,marius,marius,1,944
778,peterson,hannah,0,917
779,jonathan,him,0,951
780,walsh,maggie,0,918
781,derek,derek,1,918
782,third,third,1,994
783,gill,bishop,0,940
784,daniel,daniel,1,995
785,sacrifice,thefirstplace,0,996
786,mitzy,mitzy,1,987
787,ivory,darling,0,892
788,lessons,lessons,1,966
789,ned,ned,1,1097
790,survive,survive,1,1010
791,eduard,thecircle,0,1274
792,darcy,darcy,1,1121
793,sofia,arethey,0,912
794,sims,sims,1,1040
795,bungalow,bungalow,1,970
796,maze,maze,1,1077
797,renna,renna,1,916
798,cora,cora,1,909
799,hers,her,0,1022
800,order,order,1,948
801,gnomes,donkey,0,1004
802,linda,linda,1,902
803,witch,witch,1,995
804,ana,ana,1,959
805,turtles,aturtle,0,1033
806,erika,erika,1,872
807,ugly,her,0,929
808,brad,him,0,915
809,toler,toler,1,989
810,locker,locker,1,1005
811,cellar,cellar,1,980
812,becca,becca,1,999
813,sweatpants,sweatpants,1,911
814,viktor,viktor,1,935
815,matilda,matilda,1,909
816,waterfalls,waterfalls,1,1118
817,bryn,bryn,1,995
818,hunter,hunter,1,1025
819,bloom,bloom,1,837
820,case,swords,0,977
821,violet,violet,1,1034
822,jerky,jerky,1,1089
823,period,either,0,866
824,hatch,hatch,1,933
825,fine,fine,1,971
826,eden,eden,1,913
827,pharmacist,pharmacist,1,994
828,lost,lost,1,841
829,beth,bern,0,999
830,cash,cash,1,1035
831,toyota,mail,0,1105
832,tempest,tempest,1,949
833,lovers,options,0,1002
834,carriage,carriage,1,939
835,achievement,accomplishment,0,1056
836,belle,her,0,896
837,elevator,elevator,1,949
838,mary,mary,1,913
839,bex,bex,1,894
840,tanner,tanner,1,992
841,kell,kell,1,865
842,hamnet,hamnet,1,883
843,patio,kitchen,0,1055
844,mark,mark,1,985
845,sleep,sleep,1,840
846,earlier,before,0,859
847,anna,anna,1,877
848,burned,burned,1,995
849,hollow,hollow,1,1236
850,rachel,rachel,1,955
851,them,dimitri,0,950
852,red,right,0,953
853,logan,logan,1,880
854,gypsy,treasure,0,922
855,star,star,1,807
856,luce,luce,1,982
857,gideon,gideon,1,1012
858,donovan,donovan,1,899
859,them,claire,0,1070
860,giants,giants,1,1187
861,petr,petr,1,1208
862,cale,cale,1,1019
863,bowen,bowen,1,917
864,suggestions,suggestions,1,947
865,ana,ana,1,886
866,hospital,hospital,1,1031
867,bill,bill,1,941
868,max,max,1,980
869,cook,cook,1,885
870,replied,re,0,976
871,willow,willow,1,935
872,quilt,quilt,1,1028
873,generator,generator,1,1055
874,duke,duke,1,998
875,colton,colton,1,892
876,duke,lady,0,957
877,coach,captain,0,889
878,andrew,tanner,0,895
879,spell,spell,1,928
880,florist,florist,1,893
881,cami,care,0,1002
882,salzella,salzella,1,912
883,anyway,school,0,884
884,george,george,1,904
885,dating,dating,1,881
886,cork,cork,1,992
887,dean,dean,1,879
888,cobwebs,acurtain,0,1113
889,max,nursed,0,1073
890,grandmother,grandmother,1,969
891,laura,laura,1,876
892,shaw,shaw,1,981
893,iona,iona,1,947
894,drinking,dangers,0,1058
895,rusty,rusty,1,947
896,preston,me,0,1048
897,numb,numb,1,1081
898,simmons,welles,0,917
899,sushi,bob,0,1131
900,rich,rich,1,979
901,isaac,isaac,1,889
902,disappointment,pressure,0,842
903,too,stairs,0,1063
904,serena,serena,1,834
905,lab,lab,1,977
906,blindfold,blindfold,1,931
907,tom,tom,1,876
908,marquis,marquis,1,1002
909,tour,tour,1,905
910,possibility,baby,0,1070
911,danika,danika,1,933
912,eddie,eddie,1,981
913,philosopher,philosopher,1,861
914,colony,colony,1,1076
915,andrus,andrus,1,957
916,horse,horse,1,902
917,elements,elements,1,1071
918,hannah,hannah,1,1133
919,fine,fine,1,922
920,pool,pool,1,981
921,gunner,slade,0,979
922,jack,melissa,0,874
923,tim,tim,1,1030
924,spacesuit,spacesuit,1,881
925,parker,parker,1,938
926,zach,lexi,0,935
927,shivered,wondered,0,1020
928,monica,monica,1,924
929,motorcycles,motorcycles,1,974
930,sarah,natalie,0,904
931,johns,johns,1,1063
932,arjun,gremt,0,876
933,drool,drool,1,914
934,skimmer,skimmer,1,948
935,hood,hood,1,940
936,itchy,dry,0,1158
937,agency,agency,1,1106
938,sarah,sarah,1,849
939,shirley,shirley,1,847
940,kate,kate,1,898
941,anna,tom,0,941
942,mat,mat,1,905
943,guardian,guardian,1,1008
944,seer,seer,1,945
945,driver,driver,1,966
946,searched,searched,1,900
947,ancestor,ancestor,1,927
948,serenus,serenus,1,1088
949,kids,motherhood,0,911
950,marquis,marquis,1,908
951,gibberish,gibberish,1,955
952,clock,clock,1,956
953,finger,finger,1,905
954,jones,jones,1,1003
955,horses,horses,1,1033
956,apology,apology,1,857
957,chosen,chosen,1,1178
958,romantic,romantic,1,962
959,california,california,1,853
960,jedrik,jedrik,1,913
961,diary,diary,1,1015
962,bankruptcy,bankruptcy,1,872
963,wolves,wolves,1,1077
964,jack,jack,1,997
965,coffin,coffin,1,961
966,mesa,adrienne,0,901
967,roy,roy,1,1113
968,demo,aboyscout,0,1125
969,jessica,jessica,1,921
970,gideon,gideon,1,1096
971,goodbyes,saying,0,1007
972,dimity,dimity,1,952
973,dragon,dragon,1,926
974,serena,serena,1,1061
975,spiders,entrance,0,1142
976,scepter,scepter,1,1044
977,prince,prince,1,968
978,newspapers,newspapers,1,947
979,cook,cook,1,1039
980,jungle,jungle,1,1025
981,sacrifice,sacrifice,1,1098
982,brooks,brooks,1,902
983,lily,lily,1,872
984,shot,shot,1,885
985,lystus,lystus,1,1078
986,angel,life,0,1133
987,messiah,father,0,1087
988,rope,rope,1,977
989,breathing,breathing,1,1047
990,pill,pill,1,952
991,sibyl,nika,0,989
992,lucy,lucy,1,1022
993,bar,bar,1,899
994,pie,tails,0,860
995,mum,mum,1,931
996,cole,brother,0,909
997,thoughts,speculation,0,931
998,cook,cook,1,1136
999,susan,melody,0,854
1000,things,thereservation,0,891
1001,mutant,mutant,1,930
1002,hank,hank,1,1091
1003,colby,ginny,0,895
1004,dizzy,dizzy,1,944
1005,jared,jared,1,945
1006,cornelia,cornelia,1,1079
1007,board,board,1,930
1008,disposable,property,0,1022
1009,leverage,evidence,0,936
1010,screen,screen,1,1092
1011,andre,andre,1,1020
1012,gillian,lucy,0,1516
1013,arrow,arrow,1,996
1014,avery,sean,0,1051
1015,guilt,guilt,1,1069
1016,lamb,girl,0,1043
1017,free,free,1,962
1018,light,light,1,871
1019,cassie,cassie,1,933
1020,george,sebastian,0,875
1021,glow,watch,0,918
1022,figures,figures,1,1347
1023,chore,chore,1,824
1024,quartz,quartz,1,977
1025,vanora,vanora,1,1095
1026,terrible,terrible,1,1114
1027,dylan,kaitlin,0,986
1028,simmons,simmons,1,959
1029,lady,lady,1,948
1030,gutter,gutter,1,1011
1031,pushover,longer,0,1133
1032,boat,knot,0,998
1033,horses,animals,0,968
1034,isaac,isaac,1,1116
1035,boring,boring,1,881
1036,animals,lions,0,1123
1037,mask,stairs,0,1009
1038,owl,owl,1,945
1039,purse,purse,1,889
1040,bowl,bowl,1,1013
1041,mikhail,lucian,0,1092
1042,honey,honey,1,846
1043,celebration,phenomenon,0,1054
