#,Gold,Prediction,Correct,PromptLength
162,accent,accent,1,5809
163,ernie,ernie,1,5656
164,visor,visor,1,5569
165,anne,anne,1,5546
166,diana,diana,1,5381
167,axel,axel,1,5455
168,wolfe,wolfe,1,5771
169,queue,line,0,5688
170,vampires,vampires,1,5804
171,protecting,protecting,1,5775
172,first,first,1,5351
173,eloisa,eloisa,1,5216
174,mortgage,loan,0,5555
175,jay,jay,1,5368
176,galaxy,galaxy,1,5728
177,jones,jones,1,5619
178,werewolves,werewolves,1,5913
179,twins,twins,1,5694
180,texting,texting,1,5851
181,buliwyf,buliwy,0,6397
182,hamnet,luxa,0,5764
183,human,one,0,5405
184,jesse,jesse,1,5600
185,savior,savior,1,5455
186,too,duped,0,5514
187,cadence,cadence,1,5334
188,casimir,casimir,1,5455
189,missing,missing,1,5794
190,josh,josh,1,5349
191,spotlight,spotlight,1,5668
192,yadira,yadira,1,5394
193,roderick,roderick,1,5324
194,alley,alley,1,5690
195,nephews,nephews,1,5489
196,jenny,jenny,1,5424
197,serious,serious,1,6099
198,jules,jules,1,5500
199,monson,monson,1,5731
200,lucien,julienne,0,5576
201,constables,constables,1,5733
202,workers,workers,1,5509
203,leonardo,leonardo,1,5753
204,mask,mask,1,5681
205,ewan,mairin,0,5287
206,aloud,julia,0,5861
207,roland,roland,1,5803
208,chip,chip,1,6098
209,order,speak,0,6223
210,raych,raych,1,5956
211,smoke,smoke,1,5518
212,dizzy,dizzy,1,5594
213,stefan,stefan,1,5470
214,menu,menu,1,5670
215,squirrel,squirrel,1,5808
216,roku,roku,1,5645
217,plants,plants,1,5491
218,baby,baby,1,5688
219,vikus,vikus,1,5897
220,alyssa,alyssa,1,5372
221,cole,cole,1,5326
222,ship,ship,1,5660
223,survived,was,0,5609
224,driver,driver,1,5545
225,ebens,ebens,1,5792
226,heights,heights,1,5692
227,billy,billy,1,5929
228,toothbrush,toothbrush,1,5545
229,jade,jade,1,5790
230,council,council,1,5370
231,collet,collet,1,5451
232,years,years,1,5543
233,brennan,brennan,1,5586
234,hudson,hudson,1,5243
235,anyway,thanks,0,5879
236,lucivar,lucivar,1,5375
237,rhoda,rhoda,1,5468
238,rough,rough,1,5740
239,damon,damon,1,5634
240,mind,i,0,5630
241,charles,charles,1,5595
242,dutiful,dutiful,1,5552
243,journal,journal,1,5683
244,shirley,shirley,1,5324
245,tristan,tristan,1,5391
246,destiny,destiny,1,5514
247,issa,issa,1,5636
248,rose,rose,1,5561
249,mace,mace,1,5616
250,bunker,bunker,1,5710
251,dragon,dragon,1,5517
252,hardy,hardy,1,5627
253,dragon,dragon,1,5517
254,bonnie,bonnie,1,5556
255,jia,jia,1,6036
256,doll,doll,1,5587
257,cassie,cassie,1,5429
258,jackie,helen,0,6254
259,kiss,kiss,1,5665
260,hide,go,0,5652
261,dreaming,dreaming,1,5799
262,bake,bake,1,5485
263,searched,searched,1,5519
264,marius,marius,1,5765
265,alone,floor,0,5533
266,zoe,zoe,1,5823
267,pile,pile,1,5582
268,hailey,hailey,1,5385
269,nell,nell,1,5791
270,townhouse,townhouse,1,5581
271,fabian,fabian,1,5489
272,protective,protective,1,5380
273,cap,cap,1,5321
274,sender,sender,1,5635
275,puppy,puppy,1,5550
276,swim,swim,1,5458
277,vaxili,vaxili,1,5443
278,books,books,1,5644
279,drown,drown,1,5892
280,them,ben,0,5691
281,mitzy,mitzy,1,6326
282,city,city,1,5700
283,arturo,arturo,1,6186
284,street,street,1,5904
285,rings,rings,1,5721
286,clones,clones,1,5768
287,atalai,atalai,1,5506
288,ethan,ethan,1,5584
289,winkler,winkler,1,5369
290,justin,justin,1,5503
291,cahoots,on,0,5411
292,messages,messages,1,5729
293,locker,locker,1,5460
294,zane,zane,1,5502
295,aden,aden,1,5530
296,ronni,ronni,1,5618
297,press,thepress,0,5821
298,teacher,teacher,1,5731
299,kiyu,kiyu,1,5330
300,gladys,gladys,1,5619
301,hot,hot,1,5638
302,georgina,georgina,1,5324
303,miracle,miracle,1,5451
304,atalai,maximilian,0,6018
305,listing,sale,0,5757
306,vasquez,vasquez,1,5686
307,lulu,lulu,1,5722
308,andre,andre,1,5315
309,lighthouse,lighthouse,1,5809
310,foolish,foolish,1,5856
311,chris,chris,1,5976
312,alcander,alcander,1,6120
313,coin,coin,1,5800
314,coffee,your,0,5749
315,lissa,lissa,1,5544
316,julianna,julianna,1,5144
317,ty,ty,1,5586
318,earl,earl,1,5476
319,marcie,marcie,1,5290
320,graves,graves,1,5643
321,villa,villa,1,5571
322,okay,okay,1,5450
323,wynn,wynn,1,5740
324,though,playfully,0,6030
325,meredith,meredith,1,5354
326,dreaming,dreaming,1,5341
327,dane,dane,1,5919
328,letter,letter,1,5505
329,catherine,catherine,1,5679
330,frosting,frosting,1,5749
331,yacht,yacht,1,5671
332,maximum,appropriate,0,5692
333,jean,jean,1,5750
334,portal,portal,1,5685
335,john,john,1,5431
336,arkady,arkady,1,5260
337,lawson,lawson,1,5894
338,hydra,hydra,1,6193
339,miscarriage,baby,0,5528
340,helena,helena,1,5326
341,alice,alice,1,5594
342,menu,menu,1,5780
343,robyn,robyn,1,5540
344,pirates,pirates,1,5697
345,chris,chris,1,5604
346,diabetic,diabetic,1,5739
347,dee,dee,1,5629
348,dragon,dragon,1,5787
349,nicholas,nicholas,1,5612
350,clara,clara,1,5343
351,vo,vo,1,5353
352,addison,addison,1,5251
353,darkness,darkness,1,5548
354,sam,sam,1,5902
355,web,web,1,5652
356,macklin,macklin,1,5822
357,stinger,stinger,1,5514
358,pack,pack,1,5682
359,moan,moan,1,5333
360,dynamite,ball,0,5752
361,driving,driving,1,5629
362,schedule,schedule,1,5713
363,legion,legion,1,5552
364,father,father,1,5723
365,maryann,hypnos,0,5365
366,ev,jay,0,5607
367,maximilian,maximilian,1,5630
368,kate,kate,1,5647
369,lesley,lesley,1,5850
370,miracle,miracle,1,5795
371,vasquez,officer,0,5538
372,adonis,adonis,1,5674
373,graid,graid,1,5517
374,grieve,process,0,5881
375,courthouse,courthouse,1,5636
376,food,food,1,6052
377,lorenzo,lorenzo,1,5539
378,revenge,revenge,1,5224
379,bracelet,bracelet,1,5559
380,ultrasound,ultrasound,1,5672
381,ronni,ronni,1,5513
382,alonzo,alonzo,1,5941
383,died,died,1,5595
384,boots,boots,1,5566
385,plane,plane,1,5502
386,legate,legate,1,5432
387,heristo,heristo,1,5821
388,convent,convent,1,5654
389,faye,faye,1,5646
390,seniors,seniors,1,5423
391,earth,mom,0,5509
392,again,anymore,0,5258
393,jock,jock,1,5543
394,animal,animal,1,5913
395,trial,trial,1,5650
396,kirov,kirov,1,5812
397,griff,griff,1,6603
398,lucas,lucas,1,5743
399,tears,tears,1,5581
400,maura,gilda,0,5986
401,clumsy,clumsy,1,6140
402,army,army,1,5903
403,major,major,1,6042
404,coke,coke,1,5498
405,pretty,pretty,1,5702
406,losers,losers,1,5435
407,rupert,rupert,1,5626
408,maximilian,maximilian,1,5433
409,pen,pen,1,5498
410,tessa,tessa,1,5783
411,smoke,smoke,1,6662
412,peter,peter,1,5554
413,library,library,1,5878
414,yours,yours,1,5205
415,carolyn,carolyn,1,5153
416,merge,merge,1,5675
417,complicated,complicated,1,5479
418,jake,jake,1,6382
419,nice,not,0,5571
420,sarah,charlton,0,5692
421,percy,percy,1,5393
422,ash,ash,1,5550
423,nick,nick,1,5431
424,bookstore,bookstore,1,5812
425,jacket,jacket,1,5633
426,logan,logan,1,5467
427,power,power,1,5543
428,wake,wake,1,6210
429,fencing,fencing,1,5468
430,collins,collins,1,5494
431,mine,mine,1,6035
432,targets,targets,1,5617
433,label,label,1,5376
434,mike,bean,0,5332
435,sarah,sarah,1,5975
436,novice,novice,1,5505
437,kelly,sam,0,5395
438,relaxed,relaxed,1,5964
439,amanda,amanda,1,5516
440,bagel,bagel,1,5722
441,kennel,shelter,0,5734
442,nisha,nisha,1,5471
443,wendy,wendy,1,5372
444,ivana,ivana,1,5637
445,max,max,1,5436
446,mum,mum,1,6977
447,trey,trey,1,5281
448,drink,drink,1,5372
449,drown,drown,1,5512
450,goner,goner,1,5635
451,shelf,shelf,1,5587
452,cow,cow,1,5633
453,chimera,chimera,1,5532
454,plain,plain,1,5643
455,esther,esther,1,5627
456,shelter,shelter,1,5396
457,highway,highway,1,5635
458,hixson,hixson,1,5432
459,cellar,cellar,1,5742
460,crib,crib,1,5801
461,poindexter,poindexter,1,5527
462,pegasus,pegasus,1,5570
463,mike,mike,1,6106
464,church,church,1,6027
465,duke,duke,1,5828
466,tzader,tzader,1,5538
467,okay,okay,1,5339
468,foreigner,foreigner,1,5708
469,terra,setzer,0,5795
470,afraid,afraid,1,5745
471,truck,car,0,5785
472,thundercloud,thundercloud,1,5528
473,mairi,mairi,1,5507
474,change,change,1,5661
475,megan,megan,1,6191
476,kasar,kasar,1,5644
477,jeb,jeb,1,5547
478,proposed,proposed,1,5669
479,river,river,1,5703
480,starr,starr,1,5730
481,justice,did,0,5574
482,freddie,shad,0,5863
483,carley,carley,1,5559
484,mallory,mallory,1,5587
485,hallie,hallie,1,5370
486,bare,empty,0,6120
487,jeffrey,jeffrey,1,5581
488,legacy,legacy,1,5780
489,adrian,adrian,1,5701
490,gabby,gabby,1,5461
491,fishing,same,0,5644
492,freedom,freedom,1,5625
493,stream,stream,1,5611
494,screamed,screamed,1,5803
495,saved,saved,1,6368
496,names,names,1,5411
497,mareth,mareth,1,5603
498,tablet,tablet,1,5547
499,melanie,melanie,1,5352
500,roku,roku,1,6347
501,debbie,debbie,1,5432
502,possessed,possessed,1,6120
503,breeze,breeze,1,5752
504,isabelle,cam,0,5252
505,ruins,street,0,5401
506,brooks,branch,0,5548
507,serious,serious,1,5477
508,styx,styx,1,5689
509,village,village,1,5707
510,genevieve,genevieve,1,5386
511,empire,empire,1,5523
512,piano,piano,1,5615
513,lisa,dad,0,5217
514,isabel,isabel,1,5369
515,nolan,nolan,1,5832
516,milt,brian,0,5110
517,sacha,sacha,1,5772
518,zoe,zoe,1,5672
519,patty,patty,1,5453
520,vee,vee,1,5222
521,tracy,tracy,1,5903
522,lucas,lucas,1,5388
523,either,either,1,5451
524,special,special,1,5303
525,lizzie,lizzie,1,5637
526,wolf,wolf,1,5620
527,rabbit,rabbit,1,5719
528,griffin,griffin,1,5174
529,advertising,advertising,1,5785
530,gaent,teria,0,5996
531,clue,clue,1,5987
532,echo,ryan,0,5389
533,game,game,1,5574
534,ainsley,ainsley,1,5288
535,stall,stall,1,5802
536,sabrina,sabrina,1,5147
537,antoine,antoine,1,5471
538,nerissa,nerissa,1,5773
539,ana,ana,1,5132
540,vines,vines,1,5706
541,drew,drew,1,5137
542,gregori,gregori,1,5351
543,jessi,jessi,1,5361
544,beautiful,beautiful,1,5426
545,inn,inn,1,5678
546,legion,legion,1,5948
547,nicholas,logan,0,5747
548,lonely,lonely,1,5401
549,lighthouse,lighthouse,1,5710
550,bobby,b,0,5570
551,prophecy,prophecy,1,5443
552,carley,carley,1,5711
553,iona,iona,1,5389
554,magic,magic,1,5793
555,france,france,1,5271
556,coffin,coffin,1,5922
557,generous,generous,1,5582
558,riley,riley,1,5308
559,ananda,buddha,0,5823
560,lot,lot,1,5558
561,ring,fight,0,5633
562,holt,holt,1,5615
563,dumpster,dumpster,1,5794
564,russia,russia,1,5315
565,lease,lease,1,5637
566,ty,ty,1,5435
567,minnesota,minnesota,1,5527
568,dimitri,dimitri,1,5736
569,battle,battle,1,5499
570,jez,jez,1,5593
571,amber,amber,1,6206
572,omaha,omaha,1,5348
573,michele,michele,1,6133
574,morning,morning,1,6026
575,andromeda,andromeda,1,5393
576,too,too,1,5693
577,nick,nick,1,5321
578,smoking,smoking,1,5706
579,trish,trish,1,5467
580,adsen,adsen,1,5866
581,gallery,gallery,1,5805
582,bars,bars,1,5608
583,secretary,secretary,1,5904
584,demoux,elend,0,5997
585,bellhop,bellhop,1,5528
586,bridge,bridge,1,5691
587,crystals,crystals,1,5752
588,nero,nero,1,5555
589,pattern,pattern,1,5425
590,camille,camille,1,5766
591,can,table,0,5566
592,south,south,1,5745
593,boring,normal,0,6030
594,godric,godric,1,5559
595,emperor,emperor,1,5537
596,holly,evanna,0,5445
597,ellie,ellie,1,5483
598,watched,watched,1,5506
599,dani,dani,1,5627
600,sleeps,sleeps,1,5627
601,emma,emma,1,5526
602,bella,bella,1,5639
603,laurence,laurence,1,5502
604,captain,captain,1,5676
605,willow,willow,1,5627
606,prentice,fiona,0,5397
607,guest,visitor,0,5705
608,nurse,nurse,1,5584
609,nick,me,0,5411
610,morons,strangers,0,5248
611,mckenzie,mckenzie,1,5657
612,salt,salt,1,5868
613,disco,disco,1,5588
614,melanie,melanie,1,5429
615,cards,cards,1,5546
616,hank,hank,1,5559
617,claudia,claudia,1,5297
618,solovet,solovet,1,5608
619,buck,buck,1,5497
620,six,six,1,5506
621,arlette,arlette,1,5391
622,hours,ever,0,5888
623,candles,candles,1,5547
624,shop,shop,1,5423
625,kids,kids,1,5508
626,alanna,alanna,1,5515
627,inn,inn,1,5683
628,bite,bite,1,5591
629,gaining,they,0,6440
630,director,director,1,5657
631,ana,ana,1,5612
632,trust,trust,1,5288
633,locals,locals,1,5924
634,barn,barn,1,5437
635,cat,kitten,0,5602
636,nijel,nijel,1,5673
637,neely,neely,1,5288
638,winston,winston,1,5057
639,absalom,absalom,1,5432
640,aaron,aaron,1,5578
641,confusion,confusion,1,5417
642,coughed,coughed,1,5629
643,neighborhood,house,0,6001
644,persians,persians,1,5756
645,conrad,conrad,1,5086
646,julia,julia,1,5344
647,mugger,mugger,1,5425
648,cam,cam,1,5493
649,button,button,1,5541
650,oyster,oyster,1,5545
651,kevin,kevin,1,5845
652,jefferson,jefferson,1,5433
653,melody,melody,1,5909
654,jayden,jayden,1,5598
655,berries,berries,1,5473
656,tank,tank,1,5719
657,kimber,kimber,1,5549
658,darling,declan,0,5278
659,mairin,mairin,1,5578
660,disagreement,disagreement,1,5528
661,love,love,1,5791
662,gym,office,0,5628
663,jet,jet,1,5344
664,wheelchair,chair,0,5657
665,christian,erin,0,5492
666,hey,hey,1,5645
667,elena,elena,1,5182
668,thirteen,thirteen,1,5521
669,warrant,warrant,1,5479
670,alone,alone,1,5342
671,jon,jon,1,5209
672,hank,hank,1,5324
673,alone,alone,1,5456
674,talk,talk,1,5429
675,mask,mask,1,5533
676,dane,dane,1,5469
677,scott,melissa,0,5667
678,teri,teri,1,5473
679,caleb,caleb,1,5537
680,camille,camille,1,5388
681,tasha,tasha,1,5364
682,hopeless,hopeless,1,5806
683,caroline,caroline,1,5757
684,running,running,1,5778
685,dizzy,dizzy,1,5457
686,kendall,hannah,0,5422
687,fang,fang,1,5868
688,cady,stella,0,5961
689,money,money,1,5712
690,labor,labor,1,5415
691,drank,drank,1,5680
692,signal,signal,1,5799
693,academy,academy,1,5620
694,debbie,debbie,1,5343
695,zoey,zoey,1,5700
696,farah,farah,1,5445
697,phase,phase,1,5518
698,geek,geek,1,5468
699,vo,vo,1,5510
700,eli,eli,1,5497
701,blog,blog,1,5560
702,halifax,mrs,0,5368
703,howard,howard,1,5873
704,emma,emma,1,5310
705,lauren,lauren,1,5403
706,broker,broker,1,5820
707,magic,a,0,5605
708,receipt,receipt,1,5653
709,dale,dale,1,5428
710,hunters,professionals,0,5478
711,governor,governor,1,5737
712,fire,fire,1,5507
713,mack,mack,1,5712
714,amos,amos,1,5659
715,tim,tim,1,5497
716,nick,nick,1,5695
717,princess,princess,1,5779
718,uncle,uncle,1,5710
719,stephanie,stephanie,1,5195
720,abby,abby,1,5648
721,zach,zach,1,5245
722,adarian,adarian,1,5430
723,brownies,brownies,1,5708
724,crates,crates,1,5586
725,megan,megan,1,5342
726,isaac,isaac,1,5528
727,officer,officer,1,5670
728,attacker,mother,0,5576
729,patch,patch,1,5410
730,master,maruccio,0,5668
731,cain,cain,1,5805
732,holt,holt,1,5329
733,latisha,latisha,1,5273
734,connie,connie,1,4949
735,alice,alice,1,5566
736,winston,winston,1,5471
737,vasquez,vasquez,1,5437
738,tether,tether,1,5702
739,young,young,1,5679
740,tiny,tiny,1,5560
741,paperwork,paperwork,1,5560
742,sean,sean,1,5425
743,cassie,themore,0,5705
744,too,too,1,5351
745,edward,edward,1,5651
746,anchor,anchor,1,5583
747,walter,walter,1,5777
748,fours,fours,1,5627
749,wall,land,0,5315
750,gill,gill,1,5780
751,connor,chloe,0,5373
752,ed,ed,1,5721
753,toast,cheers,0,5345
754,coin,coin,1,5989
755,shore,shore,1,5404
756,master,master,1,5499
757,storm,storm,1,5415
758,body,body,1,5847
759,eden,eden,1,5696
760,book,book,1,5652
761,rusty,rusty,1,5823
762,captain,captain,1,5565
763,treatment,treatment,1,5786
764,steel,steel,1,5888
765,plank,deck,0,5769
766,callie,callie,1,5680
767,fest,werewolf,0,5607
768,orin,orin,1,5168
769,corral,corral,1,5718
770,outpost,outpost,1,5677
771,haven,haven,1,5759
772,riot,riot,1,5372
773,hostage,hostage,1,5330
774,gillian,gillian,1,5978
775,pancakes,pancakes,1,5673
776,chickens,chickens,1,5631
777,marius,marius,1,5538
778,peterson,peterson,1,5735
779,jonathan,jonathan,1,5386
780,walsh,walsh,1,5407
781,derek,derek,1,5445
782,third,third,1,5536
783,gill,bishop,0,5541
784,daniel,daniel,1,5290
785,sacrifice,the,0,5360
786,mitzy,ben,0,5379
787,ivory,ivory,1,5541
788,lessons,lessons,1,5640
789,ned,ned,1,5901
790,survive,survive,1,6188
791,eduard,eduard,1,5647
792,darcy,darcy,1,5600
793,sofia,sofia,1,5400
794,sims,sims,1,5411
795,bungalow,bungalow,1,5696
796,maze,maze,1,5818
797,renna,renna,1,5588
798,cora,though,0,5444
799,hers,her,0,5392
800,order,choice,0,5712
801,gnomes,gnomes,1,5654
802,linda,linda,1,5353
803,witch,witch,1,5701
804,ana,ana,1,5335
805,turtles,issy,0,5479
806,erika,erika,1,6226
807,ugly,a,0,5278
808,brad,brad,1,5351
809,toler,blatcher,0,5769
810,locker,reputation,0,5578
811,cellar,smoke,0,5685
812,becca,becca,1,5435
813,sweatpants,sweatpants,1,5643
814,viktor,viktor,1,6044
815,matilda,matilda,1,5582
816,waterfalls,waterfalls,1,5905
817,bryn,bryn,1,5677
818,hunter,hunter,1,5400
819,bloom,bloom,1,5417
820,case,case,1,5557
821,violet,violet,1,5642
822,jerky,jerky,1,5643
823,period,either,0,5358
824,hatch,hatch,1,5680
825,fine,fine,1,5916
826,eden,eden,1,5479
827,pharmacist,pharmacist,1,5780
828,lost,lost,1,5389
829,beth,beth,1,5700
830,cash,cash,1,5348
831,toyota,toyota,1,5918
832,tempest,tempest,1,5739
833,lovers,lovers,1,5330
834,carriage,room,0,5612
835,achievement,accomplishment,0,5407
836,belle,belle,1,5384
837,elevator,elevator,1,5613
838,mary,mary,1,5898
839,bex,bex,1,5407
840,tanner,tanner,1,6059
841,kell,kell,1,5539
842,hamnet,hamnet,1,5258
843,patio,other,0,5681
844,mark,mark,1,5704
845,sleep,sleep,1,5180
846,earlier,levi,0,5525
847,anna,anna,1,5631
848,burned,burned,1,5590
849,hollow,hollow,1,6427
850,rachel,rachel,1,5543
851,them,dimitri,0,6235
852,red,red,1,5597
853,logan,logan,1,5656
854,gypsy,gypsy,1,5237
855,star,star,1,5510
856,luce,luce,1,5364
857,gideon,gideon,1,5702
858,donovan,donovan,1,5287
859,them,jasper,0,5864
860,giants,giantsthe,0,6826
861,petr,petr,1,6091
862,cale,cale,1,5451
863,bowen,bowen,1,5606
864,suggestions,suggestions,1,5796
865,ana,ana,1,5663
866,hospital,hospital,1,5854
867,bill,bill,1,5644
868,max,max,1,5895
869,cook,porter,0,5720
870,replied,lied,0,5609
871,willow,willow,1,5741
872,quilt,quilt,1,5854
873,generator,generator,1,5721
874,duke,duke,1,5929
875,colton,colton,1,5215
876,duke,duke,1,5583
877,coach,catcher,0,5389
878,andrew,andrew,1,5369
879,spell,spell,1,5598
880,florist,florist,1,5454
881,cami,cami,1,5829
882,salzella,salzella,1,5471
883,anyway,about,0,5348
884,george,george,1,5538
885,dating,dating,1,6175
886,cork,cork,1,5617
887,dean,dean,1,5521
888,cobwebs,dust,0,5525
889,max,max,1,6000
890,grandmother,grandmother,1,5630
891,laura,laura,1,5187
892,shaw,rule,0,5250
893,iona,iona,1,5652
894,drinking,dangers,0,5813
895,rusty,rusty,1,5614
896,preston,preston,1,5500
897,numb,numb,1,5573
898,simmons,simmons,1,5538
899,sushi,sushi,1,5931
900,rich,arichgirl,0,5293
901,isaac,isaac,1,5501
902,disappointment,rest,0,5383
903,too,there,0,5557
904,serena,serena,1,5188
905,lab,lab,1,5641
906,blindfold,blindfold,1,5575
907,tom,tom,1,5756
908,marquis,marquis,1,5628
909,tour,tour,1,5784
910,possibility,possibility,1,5806
911,danika,danika,1,5574
912,eddie,eddie,1,5333
913,philosopher,philosopher,1,5384
914,colony,colony,1,5536
915,andrus,andrus,1,5984
916,horse,horse,1,5619
917,elements,elements,1,5862
918,hannah,hannah,1,5532
919,fine,fine,1,5326
920,pool,pool,1,5717
921,gunner,gunner,1,5693
922,jack,melissa,0,5475
923,tim,tim,1,5365
924,spacesuit,spacesuit,1,5524
925,parker,parker,1,5804
926,zach,zach,1,5856
927,shivered,wondered,0,6081
928,monica,monica,1,5661
929,motorcycles,riders,0,5638
930,sarah,natalie,0,5454
931,johns,johns,1,5518
932,arjun,gremt,0,5446
933,drool,drool,1,5381
934,skimmer,skimmer,1,5612
935,hood,hood,1,5566
936,itchy,it,0,6013
937,agency,agency,1,6418
938,sarah,sarah,1,5190
939,shirley,shirley,1,5378
940,kate,kate,1,5183
941,anna,anna,1,5388
942,mat,mat,1,5521
943,guardian,guardian,1,5735
944,seer,seer,1,5686
945,driver,driver,1,6241
946,searched,searched,1,5425
947,ancestor,ancestor,1,5621
948,serenus,serenus,1,5778
949,kids,motherhood,0,5478
950,marquis,marquis,1,5576
951,gibberish,gibberish,1,5999
952,clock,clock,1,5359
953,finger,finger,1,5371
954,jones,jones,1,5922
955,horses,horses,1,5452
956,apology,apology,1,5239
957,chosen,chosen,1,6510
958,romantic,romantic,1,5387
959,california,california,1,5229
960,jedrik,jedrik,1,5389
961,diary,diary,1,5751
962,bankruptcy,bankruptcy,1,5549
963,wolves,wolves,1,5657
964,jack,jack,1,6431
965,coffin,coffin,1,5539
966,mesa,adrienne,0,5455
967,roy,roy,1,5551
968,demo,demo,1,5457
969,jessica,jessica,1,5660
970,gideon,gideon,1,5668
971,goodbyes,goodby,0,5369
972,dimity,dimity,1,5373
973,dragon,dragon,1,5529
974,serena,serena,1,5725
975,spiders,spiders,1,6142
976,scepter,scepter,1,5749
977,prince,prince,1,5643
978,newspapers,papers,0,5608
979,cook,cook,1,5420
980,jungle,amazon,0,5670
981,sacrifice,sacrifice,1,5609
982,brooks,brooks,1,5279
983,lily,lily,1,5118
984,shot,shot,1,5681
985,lystus,lystus,1,5433
986,angel,angel,1,5780
987,messiah,messiah,1,5755
988,rope,rope,1,5632
989,breathing,breathing,1,5711
990,pill,pill,1,5506
991,sibyl,sibyl,1,5807
992,lucy,lucy,1,5498
993,bar,bar,1,5665
994,pie,tails,0,5240
995,mum,mum,1,5671
996,cole,cole,1,5420
