#,Gold,Prediction,Correct,PromptLength
321,villa,villa,1,890
322,okay,okay,1,871
323,wynn,wynn,1,1214
324,though,english,0,923
325,meredith,meredith,1,964
326,dreaming,dreaming,1,938
327,dane,dane,1,1100
328,letter,letter,1,942
329,catherine,catherine,1,1049
330,frosting,frosting,1,1051
331,yacht,yacht,1,962
332,maximum,distraction,0,1206
333,jean,jean,1,978
334,portal,portal,1,1070
335,john,john,1,1083
336,arkady,arkady,1,987
337,lawson,lawson,1,1072
338,hydra,hydra,1,941
339,miscarriage,miscarriage,1,921
340,helena,helena,1,981
341,alice,alice,1,964
342,menu,menu,1,1017
343,robyn,robyn,1,985
344,pirates,pirates,1,1012
345,chris,angie,0,934
346,diabetic,allergic,0,941
347,dee,dee,1,1108
348,dragon,dragon,1,941
349,nicholas,nicholas,1,884
350,clara,clara,1,916
351,vo,ana,0,921
352,addison,addison,1,983
353,darkness,darkness,1,919
354,sam,sam,1,1035
355,web,web,1,1096
356,macklin,macklin,1,1067
357,stinger,tail,0,972
358,pack,pack,1,1142
359,moan,moan,1,929
360,dynamite,pass,0,1002
361,driving,driving,1,1005
362,schedule,schedule,1,1055
363,legion,legion,1,919
364,father,yard,0,978
365,maryann,help,0,975
366,ev,jay,0,1151
367,maximilian,maximilian,1,938
368,kate,kate,1,1294
369,lesley,lesley,1,956
370,miracle,miracle,1,934
371,vasquez,vasquez,1,1005
372,adonis,adonis,1,923
373,graid,graid,1,1011
374,grieve,process,0,1147
375,courthouse,courthouse,1,1103
376,food,danger,0,1183
377,lorenzo,lorenzo,1,925
378,revenge,revenge,1,1003
379,bracelet,bracelet,1,1051
380,ultrasound,ultrasound,1,1108
381,ronni,ronni,1,1032
382,alonzo,alonzo,1,1011
383,died,died,1,988
384,boots,boots,1,923
385,plane,plane,1,885
386,legate,legate,1,936
387,heristo,dreams,0,982
388,convent,convent,1,1105
389,faye,diana,0,968
390,seniors,done,0,951
391,earth,thesurface,0,952
392,again,anymore,0,975
393,jock,jock,1,996
394,animal,bird,0,955
395,trial,trial,1,1049
396,kirov,ki,0,1053
397,griff,griff,1,1037
398,lucas,lucas,1,995
399,tears,env,0,1054
400,maura,maura,1,991
401,clumsy,clumsy,1,958
402,army,army,1,1195
403,major,sir,0,943
404,coke,coke,1,962
405,pretty,charming,0,963
406,losers,losers,1,879
407,rupert,rupert,1,1072
408,maximilian,maximilian,1,990
409,pen,pen,1,934
410,tessa,tessa,1,997
411,smoke,smoke,1,1025
412,peter,peter,1,893
413,library,library,1,1239
414,yours,yours,1,908
415,carolyn,carolyn,1,888
416,merge,merge,1,951
417,complicated,coming,0,1033
418,jake,jake,1,1191
419,nice,not,0,888
420,sarah,hisbrother,0,943
421,percy,percy,1,961
422,ash,ash,1,1126
423,nick,nick,1,1014
424,bookstore,bookstore,1,985
425,jacket,suit,0,972
426,logan,logan,1,998
427,power,power,1,928
428,wake,hear,0,1123
429,fencing,fencing,1,886
430,collins,collins,1,1129
431,mine,waiting,0,973
432,targets,targets,1,966
433,label,label,1,937
434,mike,mike,1,1040
435,sarah,sarah,1,950
436,novice,novice,1,980
437,kelly,sam,0,960
438,relaxed,calm,0,907
439,amanda,amanda,1,960
440,bagel,bagel,1,940
441,kennel,shelter,0,1004
442,nisha,nisha,1,942
443,wendy,wendy,1,961
444,ivana,ivana,1,1073
445,max,max,1,1071
446,mum,mum,1,1101
447,trey,your,0,914
448,drink,go,0,1022
449,drown,die,0,955
450,goner,fool,0,1160
451,shelf,shelf,1,1146
452,cow,cow,1,1137
453,chimera,chimera,1,973
454,plain,plain,1,1065
455,esther,esther,1,962
456,shelter,signs,0,978
457,highway,highway,1,976
458,hixson,hixson,1,990
459,cellar,cellar,1,1098
460,crib,crib,1,1167
461,poindexter,poindexter,1,970
462,pegasus,pegasus,1,926
463,mike,mike,1,1095
464,church,the,0,1051
465,duke,duke,1,1061
466,tzader,evalle,0,1083
467,okay,okay,1,1034
468,foreigner,foreigner,1,990
469,terra,home,0,907
470,afraid,afraid,1,1279
471,truck,truck,1,1078
472,thundercloud,thunderclouds,0,934
473,mairi,her,0,1154
474,change,change,1,1069
475,megan,megan,1,1144
476,kasar,kasar,1,1003
477,jeb,jeb,1,943
478,proposed,proposed,1,1031
479,river,river,1,1244
480,starr,starr,1,966
481,justice,maggie,0,945
482,freddie,freddie,1,983
483,carley,carley,1,1110
484,mallory,holly,0,1088
485,hallie,hallie,1,983
486,bare,stolen,0,1055
487,jeffrey,jeffrey,1,1176
488,legacy,legacy,1,1179
489,adrian,adrian,1,938
490,gabby,idiot,0,932
491,fishing,fishing,1,987
492,freedom,freedom,1,968
493,stream,stream,1,1066
494,screamed,died,0,1059
495,saved,saved,1,878
496,names,options,0,880
497,mareth,mareth,1,941
498,tablet,tablet,1,993
499,melanie,listen,0,1004
500,roku,roku,1,1252
501,debbie,debbie,1,1052
502,possessed,possessed,1,1253
503,breeze,furn,0,990
504,isabelle,isabelle,1,954
505,ruins,ruins,1,848
506,brooks,branch,0,998
507,serious,not,0,948
508,styx,styx,1,877
509,village,village,1,925
510,genevieve,genevieve,1,997
511,empire,empire,1,929
512,piano,piano,1,895
513,lisa,dad,0,904
514,isabel,isabel,1,899
515,nolan,nolan,1,1006
516,milt,brian,0,969
517,sacha,pip,0,943
518,zoe,zoe,1,1057
519,patty,her,0,973
520,vee,vee,1,963
521,tracy,kelly,0,1015
522,lucas,again,0,928
523,either,take,0,949
524,special,special,1,1018
525,lizzie,lizzie,1,913
526,wolf,giant,0,1079
527,rabbit,rabbit,1,1100
528,griffin,griffin,1,1040
529,advertising,advertising,1,1047
530,gaent,teria,0,1011
531,clue,clue,1,1091
532,echo,echo,1,868
533,game,game,1,991
534,ainsley,juliana,0,883
535,stall,stall,1,968
536,sabrina,sabrina,1,938
537,antoine,antoine,1,999
538,nerissa,nerissa,1,953
539,ana,ana,1,897
540,vines,vines,1,1270
541,drew,drew,1,926
542,gregori,gregori,1,956
543,jessi,jessi,1,1179
544,beautiful,beautiful,1,1066
545,inn,inn,1,1067
546,legion,legion,1,905
547,nicholas,tynan,0,1048
548,lonely,lonely,1,885
549,lighthouse,lighthouse,1,944
550,bobby,bobby,1,1011
551,prophecy,prophecy,1,908
552,carley,susan,0,973
553,iona,iona,1,1057
554,magic,magic,1,1095
555,france,france,1,994
556,coffin,coffin,1,1065
557,generous,generous,1,970
558,riley,him,0,938
559,ananda,ananda,1,1021
560,lot,parkinglot,0,971
561,ring,ring,1,926
562,holt,holt,1,913
563,dumpster,dumpster,1,1147
564,russia,russia,1,1016
565,lease,lease,1,939
566,ty,tyty,0,984
567,minnesota,minnesota,1,1022
568,dimitri,dimitri,1,1018
569,battle,battle,1,951
570,jez,jez,1,1134
571,amber,amber,1,1069
572,omaha,omaha,1,971
573,michele,michele,1,993
574,morning,human,0,1168
575,andromeda,andromeda,1,967
576,too,too,1,1049
577,nick,unclenick,0,1069
578,smoking,smoking,1,906
579,trish,peter,0,1144
580,adsen,dormer,0,921
581,gallery,gallery,1,1218
582,bars,energy,0,1049
583,secretary,queen,0,1150
584,demoux,demoux,1,904
585,bellhop,bellhop,1,985
586,bridge,bridge,1,1078
587,crystals,crystals,1,995
588,nero,nero,1,863
589,pattern,pattern,1,1191
590,camille,camille,1,982
591,can,table,0,915
592,south,south,1,1106
593,boring,boring,1,932
594,godric,godric,1,974
595,emperor,emperor,1,944
596,holly,holly,1,943
597,ellie,him,0,1135
598,watched,watched,1,884
599,dani,dani,1,892
600,sleeps,suffers,0,1010
601,emma,david,0,1106
602,bella,bella,1,1308
603,laurence,company,0,1053
604,captain,captain,1,1138
605,willow,willow,1,1061
606,prentice,prentice,1,1095
607,guest,visitorthought,0,1040
608,nurse,nurse,1,949
609,nick,me,0,1036
610,morons,strangers,0,981
611,mckenzie,mckenzie,1,982
612,salt,salt,1,912
613,disco,teenage,0,992
614,melanie,melanie,1,1094
615,cards,cards,1,921
616,hank,hank,1,1189
617,claudia,prince,0,866
618,solovet,solovet,1,856
619,buck,buck,1,1028
620,six,six,1,958
621,arlette,lucille,0,933
622,hours,anhour,0,1122
623,candles,candles,1,910
624,shop,shop,1,1027
625,kids,time,0,863
626,alanna,alanna,1,997
627,inn,inn,1,1011
628,bite,bite,1,1071
629,gaining,they,0,1081
630,director,director,1,964
631,ana,vo,0,859
632,trust,trust,1,955
633,locals,local,0,1096
634,barn,barn,1,962
635,cat,kitten,0,1020
636,nijel,conina,0,943
637,neely,neely,1,846
638,winston,star,0,1041
639,absalom,absalom,1,1020
640,aaron,aaron,1,1018
641,confusion,confusion,1,958
642,coughed,been,0,891
643,neighborhood,neighborhood,1,1168
644,persians,persians,1,1231
645,conrad,barry,0,898
646,julia,julia,1,1032
647,mugger,mugger,1,957
648,cam,cam,1,907
649,button,button,1,890
650,oyster,oyster,1,938
651,kevin,kevin,1,1102
652,jefferson,themedia,0,1044
653,melody,right,0,992
654,jayden,jayden,1,941
655,berries,berries,1,1096
656,tank,tank,1,1022
657,kimber,kimber,1,978
658,darling,declan,0,911
659,mairin,mairin,1,977
660,disagreement,disagreement,1,1184
661,love,love,1,960
662,gym,gym,1,1003
663,jet,jet,1,1031
664,wheelchair,chair,0,978
665,christian,jordan,0,1060
666,hey,hey,1,905
667,elena,elena,1,959
668,thirteen,devastated,0,859
669,warrant,warrant,1,1255
670,alone,alone,1,934
671,jon,jon,1,1020
672,hank,ashovel,0,950
673,alone,alone,1,1022
674,talk,chance,0,895
675,mask,mask,1,937
676,dane,dane,1,1042
677,scott,melissa,0,998
678,teri,teri,1,938
679,caleb,caleb,1,1032
680,camille,camille,1,1016
681,tasha,tasha,1,912
682,hopeless,hopeless,1,1022
683,caroline,caroline,1,997
684,running,running,1,960
685,dizzy,dizzy,1,1030
686,kendall,hannah,0,1031
687,fang,fang,1,926
688,cady,stella,0,1145
689,money,notes,0,1164
690,labor,labor,1,986
691,drank,died,0,1081
692,signal,signal,1,983
693,academy,academy,1,949
694,debbie,boss,0,941
695,zoey,zoey,1,1182
696,farah,farah,1,997
697,phase,phase,1,891
698,geek,mythomani,0,887
699,vo,vo,1,1020
700,eli,eli,1,915
701,blog,blog,1,988
702,halifax,mrs,0,962
703,howard,howard,1,988
704,emma,emma,1,905
705,lauren,lauren,1,860
706,broker,broker,1,1058
707,magic,magic,1,1102
708,receipt,receipt,1,972
709,dale,dale,1,986
710,hunters,bountyhunters,0,1000
711,governor,governor,1,1188
712,fire,fire,1,975
713,mack,mack,1,983
714,amos,amos,1,1052
715,tim,tim,1,969
716,nick,strong,0,941
717,princess,happy,0,1032
718,uncle,uncle,1,1156
719,stephanie,stephanie,1,889
720,abby,angel,0,894
721,zach,zach,1,961
722,adarian,boy,0,903
723,brownies,brownies,1,984
724,crates,crates,1,955
725,megan,megan,1,935
726,isaac,isaac,1,983
727,officer,officer,1,1023
728,attacker,attacker,1,1011
729,patch,patch,1,922
730,master,maruccio,0,841
731,cain,cain,1,912
732,holt,holt,1,1042
733,latisha,look,0,1069
734,connie,connie,1,917
735,alice,alice,1,1252
736,winston,winston,1,1068
737,vasquez,vasquez,1,962
738,tether,tether,1,948
739,young,young,1,953
740,tiny,tiny,1,952
741,paperwork,paperwork,1,1016
742,sean,but,0,931
743,cassie,themore,0,898
744,too,intervene,0,947
745,edward,shake,0,1054
746,anchor,anchor,1,977
747,walter,walter,1,1017
748,fours,fours,1,1064
749,wall,land,0,955
750,gill,alicia,0,1145
751,connor,connor,1,953
752,ed,mouse,0,992
753,toast,cheers,0,883
754,coin,coin,1,914
755,shore,thesurface,0,981
756,master,master,1,962
757,storm,storm,1,1040
758,body,body,1,1126
759,eden,pre,0,1018
760,book,book,1,1057
761,rusty,rusty,1,988
762,captain,captain,1,1029
763,treatment,treatment,1,1059
764,steel,copper,0,1027
765,plank,deck,0,1131
766,callie,callie,1,938
767,fest,festival,0,890
768,orin,orin,1,951
769,corral,corral,1,999
770,outpost,outpost,1,986
771,haven,haven,1,1012
772,riot,riot,1,971
773,hostage,hostage,1,900
774,gillian,lucy,0,1451
775,pancakes,pancakes,1,1078
776,chickens,chickens,1,1007
777,marius,marius,1,883
778,peterson,peterson,1,975
779,jonathan,jonathan,1,979
780,walsh,walsh,1,913
781,derek,derek,1,1163
782,third,third,1,966
783,gill,bishop,0,1074
784,daniel,daniel,1,1001
785,sacrifice,thefirstplace,0,980
786,mitzy,mitzy,1,1024
787,ivory,darling,0,910
788,lessons,lessons,1,887
789,ned,ned,1,1114
790,survive,survive,1,885
791,eduard,themask,0,1275
792,darcy,darcy,1,1016
793,sofia,are,0,961
794,sims,sims,1,1050
795,bungalow,bungalow,1,926
796,maze,maze,1,1138
797,renna,renna,1,1038
798,cora,thanks,0,971
799,hers,her,0,983
800,order,order,1,914
801,gnomes,gnomes,1,1060
802,linda,linda,1,1004
803,witch,witch,1,1003
804,ana,ana,1,901
805,turtles,turtles,1,1154
806,erika,erika,1,899
807,ugly,afriend,0,929
808,brad,brad,1,1039
809,toler,toler,1,1010
810,locker,locker,1,966
811,cellar,cellar,1,1019
812,becca,becca,1,1096
813,sweatpants,sweatpants,1,959
814,viktor,viktor,1,993
815,matilda,matilda,1,922
816,waterfalls,waterfalls,1,975
817,bryn,bryn,1,980
818,hunter,hunter,1,1004
819,bloom,bloom,1,864
820,case,swords,0,954
821,violet,violet,1,1010
822,jerky,jerky,1,1087
823,period,either,0,878
824,hatch,door,0,988
825,fine,fine,1,971
826,eden,shouldn't,0,1019
827,pharmacist,pharmacist,1,961
828,lost,lost,1,832
829,beth,bern,0,1026
830,cash,cash,1,960
831,toyota,toyota,1,1165
832,tempest,tempest,1,977
833,lovers,options,0,1105
834,carriage,carriage,1,1139
835,achievement,accomplishment,0,1035
836,belle,belle,1,960
837,elevator,elevator,1,967
838,mary,mary,1,981
839,bex,bex,1,1003
840,tanner,tanner,1,1085
841,kell,kell,1,909
842,hamnet,hamnet,1,873
843,patio,patio,1,1042
844,mark,mark,1,1075
845,sleep,sleep,1,946
846,earlier,levi,0,846
847,anna,anna,1,1005
848,burned,burned,1,1064
849,hollow,hollow,1,1267
850,rachel,rachel,1,1017
851,them,them,1,966
852,red,right,0,1019
853,logan,logan,1,883
854,gypsy,gypsy,1,942
855,star,star,1,873
856,luce,luce,1,1069
857,gideon,gideon,1,986
858,donovan,donovan,1,982
859,them,jasper,0,932
860,giants,giants,1,1013
861,petr,petr,1,1048
862,cale,cale,1,1049
863,bowen,bowen,1,1028
864,suggestions,suggestions,1,970
865,ana,ana,1,909
866,hospital,hospital,1,1013
867,bill,bill,1,1017
868,max,max,1,1058
869,cook,boxes,0,898
870,replied,replied,1,1044
871,willow,willow,1,1032
872,quilt,quilt,1,1000
873,generator,generator,1,1112
874,duke,duke,1,982
875,colton,colton,1,949
876,duke,lady,0,923
877,coach,coach,1,952
878,andrew,tanner,0,860
879,spell,spell,1,1123
880,florist,florist,1,851
881,cami,cami,1,1182
882,salzella,salzella,1,953
883,anyway,school,0,915
884,george,sebastian,0,949
885,dating,dating,1,870
886,cork,cork,1,1019
887,dean,dean,1,883
888,cobwebs,vines,0,1086
889,max,max,1,1066
890,grandmother,grandmother,1,958
891,laura,laura,1,941
892,shaw,shaw,1,985
893,iona,iona,1,989
894,drinking,dangers,0,1036
895,rusty,rusty,1,1175
896,preston,me,0,1081
897,numb,numb,1,1060
898,simmons,simmons,1,1268
899,sushi,translated,0,956
900,rich,richgirl,0,920
901,isaac,isaac,1,914
902,disappointment,pressure,0,965
903,too,stairs,0,1072
904,serena,serena,1,854
905,lab,lab,1,1188
906,blindfold,bandanna,0,930
907,tom,tom,1,918
908,marquis,marquis,1,972
909,tour,tour,1,898
910,possibility,possibility,1,932
911,danika,danika,1,1069
912,eddie,eddie,1,914
913,philosopher,philosopher,1,1067
914,colony,colony,1,1081
915,andrus,niccolo,0,968
916,horse,horse,1,1025
917,elements,elements,1,1062
918,hannah,hannah,1,1095
919,fine,fine,1,986
920,pool,pool,1,988
921,gunner,gunner,1,903
922,jack,jack,1,1041
923,tim,tim,1,1194
924,spacesuit,spacesuit,1,1015
925,parker,parker,1,941
926,zach,lexi,0,1085
927,shivered,wondered,0,991
928,monica,monica,1,1099
929,motorcycles,sign,0,974
930,sarah,natalie,0,1008
931,johns,johns,1,1074
932,arjun,arjun,1,981
933,drool,drool,1,1048
934,skimmer,skimmer,1,979
935,hood,hood,1,1025
936,itchy,dry,0,1046
937,agency,agency,1,1139
938,sarah,sarah,1,821
939,shirley,shirley,1,878
940,kate,hon,0,892
941,anna,,0,986
942,mat,mat,1,880
943,guardian,guardian,1,972
944,seer,seer,1,981
945,driver,driver,1,986
946,searched,searched,1,1000
947,ancestor,ancestor,1,881
948,serenus,serenus,1,1069
949,kids,motherhood,0,911
950,marquis,marquis,1,923
951,gibberish,gibberish,1,1052
952,clock,clock,1,1018
953,finger,finger,1,936
954,jones,jones,1,1137
955,horses,horses,1,1197
956,apology,chance,0,844
957,chosen,chosen,1,1056
958,romantic,romantic,1,974
959,california,california,1,942
960,jedrik,jedrik,1,997
961,diary,diary,1,1007
962,bankruptcy,bankruptcy,1,866
963,wolves,wolves,1,1037
964,jack,jack,1,972
965,coffin,coffin,1,1110
966,mesa,a,0,926
967,roy,her,0,1171
968,demo,demo,1,1196
969,jessica,jessica,1,1077
970,gideon,gideon,1,983
971,goodbyes,goodbye,0,1005
972,dimity,dimity,1,1069
973,dragon,dragon,1,883
974,serena,serena,1,1107
975,spiders,spiders,1,1062
976,scepter,scepter,1,1019
977,prince,prince,1,899
978,newspapers,newspapers,1,931
979,cook,cook,1,1056
980,jungle,jungle,1,1119
981,sacrifice,sacrifice,1,1025
982,brooks,brooks,1,938
983,lily,lily,1,875
984,shot,shot,1,903
985,lystus,lystus,1,1122
986,angel,life,0,1023
987,messiah,father,0,1060
988,rope,rope,1,972
989,breathing,breathing,1,1101
990,pill,pill,1,928
991,sibyl,nika,0,951
992,lucy,theo,0,1012
993,bar,bar,1,1050
994,pie,atail,0,906
995,mum,mum,1,989
996,cole,everything,0,938
997,thoughts,speculation,0,1150
998,cook,cook,1,1106
999,susan,melody,0,885
1000,things,the,0,1011
1001,mutant,mutant,1,988
1002,hank,hank,1,1017
1003,colby,ginny,0,930
1004,dizzy,dizzy,1,975
1005,jared,jared,1,919
1006,cornelia,mae,0,1046
1007,board,board,1,894
1008,disposable,disposable,1,1036
1009,leverage,leverage,1,1027
1010,screen,screen,1,1150
1011,andre,andre,1,925
1012,gillian,gillian,1,1491
1013,arrow,paper,0,934
1014,avery,sean,0,1072
1015,guilt,guilt,1,1121
1016,lamb,lamb,1,1063
1017,free,free,1,1073
1018,light,light,1,942
1019,cassie,her,0,903
1020,george,sebastian,0,915
1021,glow,observe,0,947
1022,figures,figures,1,1144
1023,chore,chore,1,877
1024,quartz,quartz,1,909
1025,vanora,vanora,1,1048
1026,terrible,terrible,1,1078
1027,dylan,hishotel,0,1044
1028,simmons,matthews,0,1182
1029,lady,lady,1,951
1030,gutter,gutter,1,1052
1031,pushover,longer,0,1103
1032,boat,boat,1,1141
1033,horses,animals,0,900
1034,isaac,isaacwel,0,1126
1035,boring,boring,1,990
